API,CalcMonthInProd,CalcGas
42227356570000,0,2
42227354510000,1,1
42227354510000,0,1
42227354510000,2,0
42227354510000,0,0
42227354510000,3,0
42227354510000,0,0
42227354510000,4,0
42227354510000,0,0
42227354510000,5,0
42227354510000,0,0
42227354510000,6,0
42227354510000,0,0
42227354510000,7,0
42227354510000,0,0
42227354510000,8,0
42227354510000,0,0
42227354510000,9,0
42227354510000,0,0
42227354510000,10,0
42227354510000,0,0
42227354510000,11,0
42227354510000,0,0
42227354510000,12,0
42227354510000,0,0
42227354510000,13,0
42227354510000,0,0
42227354510000,14,0
42227354510000,0,0
42227354510000,15,0
42227354510000,0,0
42227354510000,16,0
42227354510000,0,0
42227354510000,17,0
42227354510000,0,0
42227354510000,18,0
42227354510000,0,0
42227354510000,19,0
42227354510000,0,0
42227354510000,20,0
42227354510000,0,0
42227354510000,21,0
42227354510000,0,0
42227354510000,22,0
42227354510000,0,0
42227354510000,23,0
42227354510000,0,0
42227354510000,24,0
42227354510000,0,0
42227354510000,25,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
42227354510000,0,0
