LINE_ID,DESIGNATOR,DESCRIPTION,ROUTE_ID,ROUTEDESCRIPTION,BEG_SERIES,BEG_STN,END_SERIES,END_STN,STATION_ID_BEGIN,STATION_ID_END,EVENT_LENGTH,SLACK_LENGTH,EFFECTIVE_FROM_DATE,EFFECTIVE_TO_DATE,LOC_BEGIN,LOC_END,LOC_ID_BEGIN,LOC_ID_END,CURRENT_INDICATOR_LF,EVENT_ID,TYPE_SCL,SUBTYPE_SCL,COATING_MATERIAL_GCL,COATING_MANUFACTURER_GCL,PRODUCT_NAME,COATING_APPLICATOR_GCL,WHERE_COATING_APPLIED_GCL,DATE_APPLIED,DESCRIPTION1,SOURCE_GCL,COMMENTS,TIMESTAMPID,Begin and End,Wheel Count (ft.),Calculated Segment
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,0,1000,290013.23,8889575,8888453,290013,,2014/05/05 01:09:09,,ER,ER,8814538,8813416,Y,9213308,TAPE,NULL,POLY,UNKNOWN,UNKNOWN,,,,,98,UPDATED FROM PDERS,,BEG_MEAS,0,< 10000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,0,1000,290013.23,8889575,8888453,290013,,2014/05/05 01:09:09,,ER,ER,8814538,8813416,Y,9213308,TAPE,NULL,POLY,UNKNOWN,UNKNOWN,,,,,98,UPDATED FROM PDERS,,END_MEAS,290013.23,290000 - 300000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,7440,1000,7442,10468566,10468567,2,,2015/05/04 00:00:00,,SP,SP,10393529,10393530,Y,10724499,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/17/2015,WCH-14-F1,40,039.009.5611.010213,05/04/2015 14:10:03:202,BEG_MEAS,7440,< 10000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,7440,1000,7442,10468566,10468567,2,,2015/05/04 00:00:00,,SP,SP,10393529,10393530,Y,10724499,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/17/2015,WCH-14-F1,40,039.009.5611.010213,05/04/2015 14:10:03:202,END_MEAS,7442,< 10000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,16731.2,1000,16735.84,8887379,8887378,5,,2014/05/05 00:00:00,,SP,SP,8812342,8812341,Y,9212663,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/16/2011,DIG WCH-09-F1,40,AFE 09-71372,,BEG_MEAS,16731.2,10000 - 20000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,16731.2,1000,16735.84,8887379,8887378,5,,2014/05/05 00:00:00,,SP,SP,8812342,8812341,Y,9212663,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/16/2011,DIG WCH-09-F1,40,AFE 09-71372,,END_MEAS,16735.84,10000 - 20000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,32268.5,1000,32270,8889622,8889623,2,,2014/05/05 00:00:00,,SP,SP,8814585,8814586,Y,9212938,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,5/3/2005,WCH-05-P2-C,40,06-24759 AFE 31327,,BEG_MEAS,32268.5,30000 - 40000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,32268.5,1000,32270,8889622,8889623,2,,2014/05/05 00:00:00,,SP,SP,8814585,8814586,Y,9212938,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,5/3/2005,WCH-05-P2-C,40,06-24759 AFE 31327,,END_MEAS,32270,30000 - 40000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,59514,1000,59516,10468563,10468564,2,,2015/05/04 00:00:00,,SP,SP,10393526,10393527,Y,10724497,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/18/2015,WCH-14-F2,40,039.009.5611.010213,05/04/2015 13:58:02:905,BEG_MEAS,59514,50000 - 60000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,59514,1000,59516,10468563,10468564,2,,2015/05/04 00:00:00,,SP,SP,10393526,10393527,Y,10724497,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/18/2015,WCH-14-F2,40,039.009.5611.010213,05/04/2015 13:58:02:905,END_MEAS,59516,50000 - 60000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,107320,1000,107324,8888082,8888083,4,,2014/05/05 00:00:00,,SP,SP,8813045,8813046,Y,9212668,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,1/7/2011,DIG WCH-09-F2,40,AFE 09-71372,,BEG_MEAS,107320,100000 - 110000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,107320,1000,107324,8888082,8888083,4,,2014/05/05 00:00:00,,SP,SP,8813045,8813046,Y,9212668,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,1/7/2011,DIG WCH-09-F2,40,AFE 09-71372,,END_MEAS,107324,100000 - 110000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,150778,1000,150781,8889466,8889468,3,,2014/05/05 00:00:00,,SP,SP,8814429,8814431,Y,9212916,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,UNKNOWN,UNKNOWN,,,99,RD-6 TAPE,,BEG_MEAS,150778,150000 - 160000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,150778,1000,150781,8889466,8889468,3,,2014/05/05 00:00:00,,SP,SP,8814429,8814431,Y,9212916,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,UNKNOWN,UNKNOWN,,,99,RD-6 TAPE,,END_MEAS,150781,150000 - 160000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,175216.6,1000,175220.7,8887386,8887387,4,,2014/05/05 00:00:00,,SP,SP,8812349,8812350,Y,9212666,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/15/2011,DIG WCH-09-F5,40,MOC 36.6083309-71732,,BEG_MEAS,175216.59,170000 - 180000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,175216.6,1000,175220.7,8887386,8887387,4,,2014/05/05 00:00:00,,SP,SP,8812349,8812350,Y,9212666,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,2/15/2011,DIG WCH-09-F5,40,MOC 36.6083309-71732,,END_MEAS,175220.69,170000 - 180000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190225.5,1000,190228.5,8888977,8888983,3,,2014/05/05 00:00:00,,SP,SP,8813940,8813946,Y,9212864,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,BEG_MEAS,190225.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190225.5,1000,190228.5,8888977,8888983,3,,2014/05/05 00:00:00,,SP,SP,8813940,8813946,Y,9212864,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,END_MEAS,190228.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190226,1000,190226.5,8888978,8888979,1,,2014/05/05 00:00:00,,SP,SP,8813941,8813942,Y,9212861,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,,,40,05-21325,,BEG_MEAS,190226,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190226,1000,190226.5,8888978,8888979,1,,2014/05/05 00:00:00,,SP,SP,8813941,8813942,Y,9212861,TAPE,NULL,REINFRCD POLY TP,POLYGUARD,RD-6,FIELD APPLIED,FIELD,,,40,05-21325,,END_MEAS,190226.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190226.5,1000,190229.5,8888979,8888985,3,,2014/05/05 00:00:00,,SP,SP,8813942,8813948,Y,9212866,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,BEG_MEAS,190226.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190226.5,1000,190229.5,8888979,8888985,3,,2014/05/05 00:00:00,,SP,SP,8813942,8813948,Y,9212866,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,END_MEAS,190229.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190226.5,1000,190232,8888979,8888988,6,,2014/05/05 00:00:00,,SP,SP,8813942,8813951,Y,9212870,TAPE,NULL,POLY,POLYKEN,UNKNOWN,FIELD APPLIED,FIELD,,,40,05-21325,,BEG_MEAS,190226.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190226.5,1000,190232,8888979,8888988,6,,2014/05/05 00:00:00,,SP,SP,8813942,8813951,Y,9212870,TAPE,NULL,POLY,POLYKEN,UNKNOWN,FIELD APPLIED,FIELD,,,40,05-21325,,END_MEAS,190232,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190227,1000,190232,8888980,8888988,5,,2014/05/05 00:00:00,,SP,SP,8813943,8813951,Y,9212869,TAPE,NULL,WAX,UNKNOWN,WAX TAPE,UNKNOWN,UNKNOWN,,,98,REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,BEG_MEAS,190227,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190227,1000,190232,8888980,8888988,5,,2014/05/05 00:00:00,,SP,SP,8813943,8813951,Y,9212869,TAPE,NULL,WAX,UNKNOWN,WAX TAPE,UNKNOWN,UNKNOWN,,,98,REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,END_MEAS,190232,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190227.5,1000,190230.5,8888981,8888986,3,,2014/05/05 00:00:00,,SP,SP,8813944,8813949,Y,9212867,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,BEG_MEAS,190227.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190227.5,1000,190230.5,8888981,8888986,3,,2014/05/05 00:00:00,,SP,SP,8813944,8813949,Y,9212867,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,END_MEAS,190230.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190229.5,1000,190232.5,8888985,8888989,3,,2014/05/05 00:00:00,,SP,SP,8813948,8813952,Y,9212871,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,BEG_MEAS,190229.5,190000 - 200000
256,10209,(10209) Wolf Creek Jct To Hopeton Bst To Helena Jct 8in ,552,(10209-1) 0 : 290013 - Wolf Creek Jct to Hopeton Bst 8in,1000,190229.5,1000,190232.5,8888985,8888989,3,,2014/05/05 00:00:00,,SP,SP,8813948,8813952,Y,9212871,UNKNOWN,NULL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,98,SLEEVE REPAIR #04-WCH-04-P1-CS-CAFE #31327 WO 05-21325,,END_MEAS,190232.5,190000 - 200000
